Substance,has,Component,CASNumber,ECRefNo,MolecularFormula,smiles
Isopentyl methyl disulfide,as such,Isopentyl methyl disulfide,72437-56-0,,C6H14S2,CC(C)CCSSC
Isopentyl pyruvate,as such,Isopentyl pyruvate,7779-72-8,231-934-9,C8H14O3,CC(C)CCOC(=O)C(=O)C
Isopentyl salicylate,as such,Isopentyl salicylate,87-20-7,201-730-4,C12H16O3,CC(C)CCOC(=O)C1=CC=CC=C1O
Isopentyl tetradecanoate,as such,Isopentyl tetradecanoate,62488-24-8,263-570-1,C19H38O2,CCCCCCCCCCCCCC(=O)OCCC(C)C
Isophthalic acid dichloride,as such,Isophthalic acid dichloride,99-63-8,202-774-7,C8H4Cl2O2,C1=CC(=CC(=C1)C(=O)Cl)C(=O)Cl
Isophytol,as such,Isophytol,505-32-8,208-008-8,C20H40O,CC(C)CCC[CH](C)CCC[CH](C)CCC[C](C)(O)C=C
Isopinocamphone,as such,Isopinocamphone,18358-53-7,242-228-5,C10H16O,CC1C2CC(C1=O)CC2(C)C
Isopropenylpyrazine,as such,Isopropenylpyrazine,38713-41-6,,C7H8N2,CC(=C)C1=NC=CN=C1
Isopropyl benzoate,as such,Isopropyl benzoate,939-48-0,213-361-6,C10H12O2,O=C(OC(C)C)C1=CC=CC=C1
Isopropyl cinnamate,as such,Isopropyl cinnamate,7780-06-5,231-949-0,C12H14O2,CC(C)OC(=O)\C=C\c1ccccc1
Isopropyl crotonate,as such,Isopropyl crotonate,6284-46-4,,C7H12O2,C/C=C/C(=O)OC(C)C
Isopropyl decanoate,as such,Isopropyl decanoate,2311-59-3,219-001-4,C13H26O2,CCCCCCCCCC(=O)OC(C)C
Isopropyl dodecanoate,as such,Isopropyl dodecanoate,10233-13-3,233-560-1,C15H30O2,CCCCCCCCCCCC(=O)OC(C)C
Isopropyl ester of the hydroxy analogue of methionine,as such,Isopropyl ester of the hydroxy analogue of methionine,57296-04-5,,C8H16O3S,OC(CCSC)C(=O)OC(C)C
Isopropyl hexadecanoate,as such,Isopropyl hexadecanoate,142-91-6,205-571-1,C19H38O2,O=C(OC(C)C)CCCCCCCCCCCCCCC
Isopropyl nicotinate,as such,Isopropyl nicotinate,553-60-6,209-043-1,C9H11NO2,CC(C)OC(=O)c1cccnc1
Isopropyl octanoate,as such,Isopropyl octanoate,5458-59-3,226-721-2,C11H22O2,CCCCCCCC(=O)OC(C)C
Isopropyl phenylacetate,as such,Isopropyl phenylacetate,4861-85-2,225-468-5,C11H14O2,c(ccc1CC(=O)OC(C)C)cc1
Isopropyl tetradecanoate,as such,Isopropyl tetradecanoate,110-27-0,203-751-4,C17H34O2,CCCCCCCCCCCCCC(=O)OC(C)C
Isopropyl valerate,as such,Isopropyl valerate,18362-97-5,242-235-3,C8H16O2,CCCCC(=O)OC(C)C
Isopropylamine,as such,Isopropylamine,75-31-0,200-860-9,C3H9N,C(C)(C)N
Isopropylpyrazine,as such,Isopropylpyrazine,29460-90-0,249-646-7,C7H10N2,CC(C)c1cnccn1
Isoproturon,as such,Isoproturon,34123-59-6,251-835-4,C12H18N2O,O=C(N(C)C)NC1=CC=C(C(C)C)C=C1
Isoproturon formulation (Isoproturon 500 FC),active ingredient,Isoproturon,34123-59-6,251-835-4,C12H18N2O,O=C(N(C)C)NC1=CC=C(C(C)C)C=C1
Isopyrazam,as such,Isopyrazam,881685-58-1,632-619-2,C20H23F2N3O,CC(C)C1C2CCC1C3=C2C=CC=C3NC(=O)C4=CN(N=C4C(F)F)C
Isoquinoline,as such,Isoquinoline,119-65-3,204-341-8,C9H7N,C1(C=CC=C2)=C2C=CN=C1
Isoxaben,as such,Isoxaben,82558-50-7,407-190-8,C18H24N2O4,CCC(C)(CC)C1=NOC(=C1)NC(=O)C2=C(C=CC=C2OC)OC
Isoxaflutole,as such,Isoxaflutole,141112-29-0,,C15H12F3NO4S,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3
Isoxaflutole + cyprosulfamide SC 480,active ingredient,Cyprosulfamide,,,C18H18N2O5S,COC1=CC=CC=C1C(=O)NS(=O)(=O)C2=CC=C(C=C2)C(=O)NC3CC3
Isoxaflutole + cyprosulfamide SC 480,active ingredient,Isoxaflutole,141112-29-0,,C15H12F3NO4S,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)C2=C(ON=C2)C3CC3
Isoxaflutole metabolite (RPA 202248),as such,Isoxaflutole metabolite (RPA 202248),143701-75-1,,,
Isoxaflutole metabolite (RPA 203328),as such,Isoxaflutole metabolite (RPA 203328),142994-06-7,,C9H7F3O4S,CS(=O)(=O)C1=C(C=CC(=C1)C(F)(F)F)C(=O)O
Kaolin,as such,Kaolin,1332-58-7,310-194-1,Al2H4O9Si2,O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O
Kaolin calcined,as such,Kaolin calcined,92704-41-1,296-473-8,Al2O7Si2,[Al+3].[Al+3].[O-][Si]([O-])([O-])O[Si]([O-])([O-])[O-]
Kaolin calcined,part of,Kaolin,1332-58-7,310-194-1,Al2H4O9Si2,O.O.O=[Al]O[Si](=O)O[Si](=O)O[Al]=O
Karaya gum,as such,Karaya gum,9000-36-6,,,
Kieselgur (Diatomaceous earth),as such,Kieselgur (Diatomaceous earth),61790-53-2,310-127-6,(SiO2)n,
Kofa Grain pH5,ca.,Propionic acid,79-09-4,201-176-3,C3H6O2,CCC(=O)O
Kofa Grain pH5,ca.,Sodium benzoate,532-32-1,208-534-8,C7H5NaO2,C1=CC=C(C=C1)C(=O)[O-].[Na+]
Kofa Grain pH5,ca.,Sodium propionate,137-40-6,205-290-4,C3H5NaO2,CCC(=O)[O-].[Na+]
Kofa Grain pH5,ca.,Water,7732-18-5,231-791-2,H2O,O
Konjac glucomannan (E 425 ii),as such,Konjac glucomannan,,,,
Konjac gum (E 425 i),as such,Konjac gum,,,,
Kresoxim-methyl,as such,Kresoxim-methyl,143390-89-0,,C18H19NO4,CC1=CC=CC=C1OCC2=CC=CC=C2/C(=N\OC)/C(=O)OC
Kresoxim-methyl BAS 490 02 F formulation,active ingredient,Kresoxim-methyl,143390-89-0,,C18H19NO4,CC1=CC=CC=C1OCC2=CC=CC=C2/C(=N\OC)/C(=O)OC
"L(+)-Tartaric acid, disodium salt",as such,"L(+)-Tartaric acid, disodium salt",868-18-8,212-773-3,C4H4Na2O6,C(C(C(=O)[O-])O)(C(=O)[O-])O.[Na+].[Na+]
L-Alanine,as such,L-Alanine,56-41-7,200-273-8,C3H7NO2,C[C@H](N)C(=O)O
L-Arginine,as such,L-Arginine,74-79-3,200-811-1,C6H14N4O2,C(CC(C(=O)O)N)CN=C(N)N
L-Aspartic acid,as such,L-Aspartic acid,56-84-8,200-291-6,C4H7NO4,C([C@@H](C(=O)O)N)C(=O)O
L-Carnitine,as such,L-Carnitine,541-15-1,208-768-0,,C[N+](C)(C)C[C@@H](CC(=O)[O-])O
L-Carnitine L-tartrate,as such,L-Carnitine L-tartrate,36687-82-8,,C18H36N2O12,C[N+](C)(C)C[C@@H](CC(=O)O)O.C[N+](C)(C)C[C@@H](CC(=O)O)O.[C@@H]([C@H](C(=O)[O-])O)(C(=O)[O-])O
L-Cysteine,as such,L-Cysteine,52-90-4,200-158-2,C3H7NO2S,C([C@@H](C(=O)O)N)S
L-Cysteine hydrochloride,as such,L-Cysteine hydrochloride,52-89-1,200-157-7,C3H8ClNO2S,C([C@@H](C(=O)O)N)S.Cl
L-Cysteine hydrochloride monohydrate,as such,L-Cysteine hydrochloride monohydrate,7048-04-6,615-117-8,C3H10ClNO3S,C([C@@H](C(=O)O)N)S.O.Cl
L-Cysteine hydrochloride monohydrate by E. coli KCCM 80109 and 80197,active ingredient,L-Cysteine hydrochloride monohydrate,7048-04-6,615-117-8,C3H10ClNO3S,C([C@@H](C(=O)O)N)S.O.Cl
L-Cysteine hydrochloride monohydrate by E. coli KCCM 80180 and 80181,active ingredient,L-Cysteine hydrochloride monohydrate,7048-04-6,615-117-8,C3H10ClNO3S,C([C@@H](C(=O)O)N)S.O.Cl
L-Cystine,as such,L-Cystine,56-89-3,200-296-3,C6H12N2O4S2,N[C@H](C(O)=O)CSSC[C@@H](C(O)=O)N
L-Ergothioneine,as such,L-Ergothioneine,497-30-3,207-843-5,C9H15N3O2S,S=C1NC(C[C@@H](C([O-])=O)[N+](C)(C)C)=CN1
L-Glutamic acid,as such,L-Glutamic acid,56-86-0,200-293-7,C5H9NO4,C(CC(=O)O)[C@@H](C(=O)O)N
L-Glutamic acid,metabolite,Gamma-glutamyl-valyl-glycine,38837-70-6,,C12H21N3O6,CC(C)[C@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N
"L-Glutamic acid, N,N-diacetic acid, tetrasodium salt",as such,"L-Glutamic acid, N,N-diacetic acid, tetrasodium salt",51981-21-6,257-573-7,C9H9NNa4O8,C(CC(=O)[O-])[C@@H](C(=O)[O-])N(CC(=O)[O-])CC(=O)[O-].[Na+].[Na+].[Na+].[Na+]
L-Glutamine,as such,L-Glutamine,56-85-9,200-292-1,C5H10N2O3,C(CC(=O)N)[C@@H](C(=O)O)N
L-Histidine,as such,L-Histidine,71-00-1,200-745-3,C6H9N3O2,N[C@@H](C\C1=C\N=C/N1)C(O)=O
L-Histidine monohydrochloride monohydrate produced by Corynebacterium glutamicum KCCM 80172,active ingredient,L-Histidine,71-00-1,200-745-3,C6H9N3O2,N[C@@H](C\C1=C\N=C/N1)C(O)=O
L-Histidine monohydrochloride monohydrate produced by Corynebacterium glutamicum KCCM 80179,active ingredient,L-Histidine monohydrochloride monohydrate,5934-29-2,211-438-9,C6H12ClN3O3,C1=C(NC=N1)C[C@@H](C(=O)O)N.O.Cl
L-Histidine monohydrochloride monohydrate produced by E. coli (NITE BP-02526),active ingredient,L-Histidine monohydrochloride monohydrate,5934-29-2,211-438-9,C6H12ClN3O3,C1=C(NC=N1)C[C@@H](C(=O)O)N.O.Cl
L-Histidine monohydrochloride monohydrate produced by E. coli ATCC-21318,active ingredient,L-Histidine monohydrochloride monohydrate,5934-29-2,211-438-9,C6H12ClN3O3,C1=C(NC=N1)C[C@@H](C(=O)O)N.O.Cl
L-Histidine monohydrochloride monohydrate produced by E. coli KCCM 80212,active ingredient,L-Histidine monohydrochloride monohydrate,5934-29-2,211-438-9,C6H12ClN3O3,C1=C(NC=N1)C[C@@H](C(=O)O)N.O.Cl
L-Histidine monohydrochloride monohydrate produced by E. coli NITE SD 00268,active ingredient,L-Histidine monohydrochloride monohydrate,5934-29-2,211-438-9,C6H12ClN3O3,C1=C(NC=N1)C[C@@H](C(=O)O)N.O.Cl
L-Isoleucine,as such,L-Isoleucine,73-32-5,200-798-2,C6H13NO2,N[C@@H]([C@@H](C)CC)C(=O)O
L-Leucine,as such,L-Leucine,61-90-5,200-522-0,C6H13NO2,CC(C)C[C@H](N)C(O)=O
L-Lysine,as such,L-Lysine,56-87-1,200-294-2,C6H14N2O2,C(CCN)CC(C(=O)O)N
L-Lysine (concentrated liquid base),part of,L-Lysine,56-87-1,200-294-2,C6H14N2O2,C(CCN)CC(C(=O)O)N
L-Lysine (concentrated liquid base) produced by Corynebacterium glutamicum by KCCM 11117P,active ingredient,L-Lysine,56-87-1,200-294-2,C6H14N2O2,C(CCN)CC(C(=O)O)N
L-Lysine (concentrated liquid base) produced by Corynebacterium glutamicum by KCTC 12307BP,active ingredient,L-Lysine,56-87-1,200-294-2,C6H14N2O2,C(CCN)CC(C(=O)O)N
L-Lysine (concentrated liquid base) produced by Corynebacterium glutamicum by NRRL B-50775,active ingredient,L-Lysine,56-87-1,200-294-2,C6H14N2O2,C(CCN)CC(C(=O)O)N
L-Lysine monohydrochloride,as such,L-Lysine monohydrochloride,657-27-2,211-519-9,C6H15ClN2O2,C(CCN)CC(C(=O)O)N.Cl
L-Lysine sulfate produced using C. glutamicum KFCC 11043,active ingredient,L-Lysine,56-87-1,200-294-2,C6H14N2O2,C(CCN)CC(C(=O)O)N
L-Lysine sulphate,as such,L-Lysine sulphate,60343-69-3,,C6H16N2O6S,C(CCN)CC(C(=O)O)N.OS(=O)(=O)O
L-Lysine sulphate (solid) produced using C. glutamicum DSM 24990,active ingredient,L-Lysine sulphate,60343-69-3,,C6H16N2O6S,C(CCN)CC(C(=O)O)N.OS(=O)(=O)O
L-Lysine sulphate (solid) produced using C. glutamicum KCCM-10227,active ingredient,L-Lysine sulphate,60343-69-3,,C6H16N2O6S,C(CCN)CC(C(=O)O)N.OS(=O)(=O)O
L-Menthyl (S)-3-hydroxybutyrate,as such,L-Menthyl (S)-3-hydroxybutyrate,115869-76-6,,C14H26O3,O=C(OC1CC(C)CCC1C(C)C)C[C@H](C)O
L-Methionine,as such,L-Methionine,63-68-3,200-562-9,C5H11NO2S,CSCC[C@@H](C(=O)O)N
L-Methionylglycine,as such,L-Methionylglycine,14486-03-4,238-487-9,C7H14N2O3S,O=C(NCC(=O)O)C(N)CCSC
L-Methylmethioninesulphonium chloride,as such,L-Methylmethioninesulphonium chloride,1115-84-0,214-231-1,C6H14O2NS,CS(C)(Cl)CCC(N)C(=O)O
L-Monomenthyl glutarate,as such,L-Monomenthyl glutarate,220621-22-7,,C15H26O4,CC1CCC(C(C1)OC(=O)CCCC(=O)O)C(C)C
L-Phenylalanine,as such,L-Phenylalanine,63-91-2,200-568-1,C9H11NO2,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
L-Proline,as such,L-Proline,147-85-3,205-702-2,,
L-Selenomethionine,as such,L-Selenomethionine,3211-76-5,,C5H11NO2Se,C[Se]CC[C@@H](C(=O)O)N
L-Selenomethionine by Saccharomyces cerevisiae CNCM I-3060,active ingredient,L-Selenomethionine,3211-76-5,,C5H11NO2Se,C[Se]CC[C@@H](C(=O)O)N
L-Selenomethionine by Saccharomyces cerevisiae NCYC R397,active ingredient,L-Selenomethionine,3211-76-5,,C5H11NO2Se,C[Se]CC[C@@H](C(=O)O)N
L-Tartaric acid,as such,L-Tartaric acid,87-69-4,201-766-0,C4H6O6,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O
L-Threonate,as such,L-Threonate,,,C4H7O5-,C([C@@H]([C@H](C(=O)[O-])O)O)O
L-Threonine,as such,L-Threonine,72-19-5,200-774-1,C4H9NO3,C[C@H]([C@@H](C(=O)O)N)O
L-Tryptophan,as such,L-Tryptophan,73-22-3,200-795-6,C11H12N2O2,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2
L-Tryptophan produced by E. coli CGMCC 11674,active ingredient,L-Tryptophan,73-22-3,200-795-6,C11H12N2O2,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2
L-Tryptophan produced by E. coli CGMCC 7.248,active ingredient,L-Tryptophan,73-22-3,200-795-6,C11H12N2O2,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2
L-Tryptophan produced by E. coli DSM 25084,active ingredient,L-Tryptophan,73-22-3,200-795-6,C11H12N2O2,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2
L-Tryptophan produced by E. coli KCCM 10534,active ingredient,L-Tryptophan,73-22-3,200-795-6,C11H12N2O2,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2
L-Tryptophan produced by E. coli KCCM 80210,active ingredient,L-Tryptophan,73-22-3,200-795-6,C11H12N2O2,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2
L-Tyrosine,as such,L-Tyrosine,60-18-4,200-460-4,C9H11NO3,Oc1ccc(C[C@H](N)C(O)=O)cc1
L-Valine,as such,L-Valine,72-18-4,200-773-6,C5H11NO2,CC(C)C(C(=O)O)N
L-Valine,metabolite,Gamma-glutamyl-valyl-glycine,38837-70-6,,C12H21N3O6,CC(C)[C@H](C(=O)NCC(=O)O)NC(=O)CC[C@@H](C(=O)O)N
L-arginine produced by Corynebacterium glutamicum KCCM 10741P,active ingredient,L-Arginine,74-79-3,200-811-1,C6H14N4O2,C(CC(C(=O)O)N)CN=C(N)N
L-arginine produced by Corynebacterium glutamicum KCCM 80099,active ingredient,L-Arginine,74-79-3,200-811-1,C6H14N4O2,C(CC(C(=O)O)N)CN=C(N)N
L-arginine produced by Corynebacterium glutamicum KCCM 80182,active ingredient,L-Arginine,74-79-3,200-811-1,C6H14N4O2,C(CC(C(=O)O)N)CN=C(N)N
L-arginine produced by Corynebacterium glutamicum NITE SD 00285,active ingredient,L-Arginine,74-79-3,200-811-1,C6H14N4O2,C(CC(C(=O)O)N)CN=C(N)N
L-arginine produced by Escherichia coli NITE BP-02186,active ingredient,L-Arginine,74-79-3,200-811-1,C6H14N4O2,C(CC(C(=O)O)N)CN=C(N)N
L-glutamine produced by Corynebacterium glutamicum NITE BP-02524,active ingredient,L-Glutamine,56-85-9,200-292-1,C5H10N2O3,C(CC(=O)N)[C@@H](C(=O)O)N
L-isoleucine produced by fermentation with Corynebacterium glutamicum KCCM 80189,active ingredient,L-Isoleucine,73-32-5,200-798-2,C6H13NO2,N[C@@H]([C@@H](C)CC)C(=O)O
L-leucine produced by Escherichia coli NITE BP-02351,active ingredient,L-Leucine,61-90-5,200-522-0,C6H13NO2,CC(C)C[C@H](N)C(O)=O
L-lysine (concentrated liquid base) produced by Corynebacterium glutamicum KCCM 80183,active ingredient,L-Lysine,56-87-1,200-294-2,C6H14N2O2,C(CCN)CC(C(=O)O)N
L-lysine (concentrated liquid base) produced by Corynebacterium glutamicum KCCM 80216,active ingredient,L-Lysine,56-87-1,200-294-2,C6H14N2O2,C(CCN)CC(C(=O)O)N
L-lysine monohydrochloride produced by Corynebacterium casei KCCM 80190,active ingredient,L-Lysine monohydrochloride,657-27-2,211-519-9,C6H15ClN2O2,C(CCN)CC(C(=O)O)N.Cl
L-lysine monohydrochloride produced by Corynebacterium glutamicum CCTCC M 2015595,active ingredient,L-Lysine monohydrochloride,657-27-2,211-519-9,C6H15ClN2O2,C(CCN)CC(C(=O)O)N.Cl
L-lysine monohydrochloride produced by Corynebacterium glutamicum DSM 32932,active ingredient,L-Lysine,56-87-1,200-294-2,C6H14N2O2,C(CCN)CC(C(=O)O)N
L-lysine monohydrochloride produced by Corynebacterium glutamicum KCCM 11117P,active ingredient,L-Lysine monohydrochloride,657-27-2,211-519-9,C6H15ClN2O2,C(CCN)CC(C(=O)O)N.Cl
L-lysine monohydrochloride produced by Corynebacterium glutamicum KCCM 80183,active ingredient,L-Lysine monohydrochloride,657-27-2,211-519-9,C6H15ClN2O2,C(CCN)CC(C(=O)O)N.Cl
L-lysine monohydrochloride produced by Corynebacterium glutamicum KCCM 80216,active ingredient,L-Lysine monohydrochloride,657-27-2,211-519-9,C6H15ClN2O2,C(CCN)CC(C(=O)O)N.Cl
L-lysine monohydrochloride produced by Corynebacterium glutamicum KCTC 12307BP,active ingredient,L-Lysine monohydrochloride,657-27-2,211-519-9,C6H15ClN2O2,C(CCN)CC(C(=O)O)N.Cl
L-lysine monohydrochloride produced by Corynebacterium glutamicum NRRL B-50547,active ingredient,L-Lysine monohydrochloride,657-27-2,211-519-9,C6H15ClN2O2,C(CCN)CC(C(=O)O)N.Cl
L-lysine monohydrochloride produced by Corynebacterium glutamicum NRRL B-50775,active ingredient,L-Lysine monohydrochloride,657-27-2,211-519-9,C6H15ClN2O2,C(CCN)CC(C(=O)O)N.Cl
L-lysine monohydrochloride technically pure,active ingredient,L-Lysine monohydrochloride,657-27-2,211-519-9,C6H15ClN2O2,C(CCN)CC(C(=O)O)N.Cl
L-lysine sulfate produced by Corynebacterium glutamicum CCTCC M 2015595,active ingredient,L-Lysine sulphate,60343-69-3,,C6H16N2O6S,C(CCN)CC(C(=O)O)N.OS(=O)(=O)O
L-lysine sulfate produced by E. coli CGMCC 3705,active ingredient,L-Lysine,56-87-1,200-294-2,C6H14N2O2,C(CCN)CC(C(=O)O)N
L-methionine produced by Corynebacterium glutamicum KCCM 80184 and Escherichia coli KCCM 80096,active ingredient,L-Methionine,63-68-3,200-562-9,C5H11NO2S,CSCC[C@@H](C(=O)O)N
L-threonine produced by Corynebacterium glutamicum X01,active ingredient,L-Threonine,72-19-5,200-774-1,C4H9NO3,C[C@H]([C@@H](C(=O)O)N)O
L-threonine produced by Corynebacterium glutamicum X02,active ingredient,L-Threonine,72-19-5,200-774-1,C4H9NO3,C[C@H]([C@@H](C(=O)O)N)O
L-threonine produced by E. Coli CGMCC 11473,active ingredient,L-Threonine,72-19-5,200-774-1,C4H9NO3,C[C@H]([C@@H](C(=O)O)N)O
L-threonine produced by E. Coli CGMCC 7.232,active ingredient,L-Threonine,72-19-5,200-774-1,C4H9NO3,C[C@H]([C@@H](C(=O)O)N)O
L-threonine produced by a genetically modified strain of E. coli CGMCC 13325,active ingredient,L-Threonine,72-19-5,200-774-1,C4H9NO3,C[C@H]([C@@H](C(=O)O)N)O
L-tryptophan produced by E. coli CGMCC 7.267,active ingredient,L-Tryptophan,73-22-3,200-795-6,C11H12N2O2,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2
L-tryptophan produced by E. coli KCCM 11132P,active ingredient,L-Tryptophan,73-22-3,200-795-6,C11H12N2O2,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2
L-tryptophan produced by E. coli KCCM 80152,active ingredient,L-Tryptophan,73-22-3,200-795-6,C11H12N2O2,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2
L-tryptophan produced by E. coli KCCM 80176,active ingredient,L-Tryptophan,73-22-3,200-795-6,C11H12N2O2,O=C(O)[C@@H](N)CC1=CNC2=C1C=CC=C2
L-valine produced by Corynebacterium glutamicum CGMCC 11675,active ingredient,L-Valine,72-18-4,200-773-6,C5H11NO2,CC(C)C(C(=O)O)N
L-valine produced by Corynebacterium glutamicum CGMCC 7.358,active ingredient,L-Valine,72-18-4,200-773-6,C5H11NO2,CC(C)C(C(=O)O)N
L-valine produced by Corynebacterium glutamicum CGMCC 7.366,active ingredient,L-Valine,72-18-4,200-773-6,C5H11NO2,CC(C)C(C(=O)O)N
L-valine produced by Corynebacterium glutamicum KCCM 11201P,active ingredient,L-Valine,72-18-4,200-773-6,C5H11NO2,CC(C)C(C(=O)O)N
L-valine produced by E. coli KCCM 80159,active ingredient,L-Valine,72-18-4,200-773-6,C5H11NO2,CC(C)C(C(=O)O)N
Lactic acid,as such,Lactic acid,598-82-3,209-954-4,C3H6O3,CC(C(=O)O)O
Lactic acid esters of mono- and diglycerides of fatty acids (E 472b),as such,Lactic acid esters of mono- and diglycerides of fatty acids (E 472b),,,C18H32O2,
Lacto-N-neotetraose,as such,Lacto-N-neotetraose,13007-32-4,,C26H45NO21,CC(=O)N[C@H]4[C@@H](O)[C@H](OC1O[C@@H](CO)[C@@H](O)C(O)C1O)C(CO)OC4O[C@H]3C(O)C(CO)O[C@@H](OC2[C@H](CO)O[C@@H](O)C(O)C2O)[C@H]3O
Lacto-N-tetraose,as such,Lacto-N-tetraose,14116-68-8,,C26H45NO21,CC(=O)NC1C(C(C(OC1OC2C(C(OC(C2O)OC3C(OC(C(C3O)O)O)CO)CO)O)CO)O)OC4C(C(C(C(O4)CO)O)O)O
Lambda-cyhalothrin,as such,Lambda-cyhalothrin,91465-08-6,415-130-7,C23H19ClF3NO3,C1([C@H]([C@H]1C(O[C@@H](c1cc(Oc2ccccc2)ccc1)C#N)=O)\C=C(\C(F)(F)F)Cl)(C)C
Laminarin,as such,Laminarin,9008-22-4,232-712-4,C18H32O16,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)OC2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)OC3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O)O)O)O)O
"Lanthanide-1,4-benzene dicarboxylate complexes",part of,"Europium-1,4-benzene dicarboxylate",,,,
"Lanthanide-1,4-benzene dicarboxylate complexes",part of,"Gadolinium-1,4-benzene dicarboxylate",,,,
"Lanthanide-1,4-benzene dicarboxylate complexes",part of,"Lanthanum-1,4-benzene dicarboxylate",,,,
"Lanthanide-1,4-benzene dicarboxylate complexes",part of,"Terbium-1,4-benzene dicarboxylate",,,,
Lanthanide-citrate,part of,Cerium citrate,512-24-3,208-139-0,C6H5CeO7,C(C(=O)[O-])C(CO)(C(=O)[O-])C(=O)[O-].[Ce+3]
Lanthanide-citrate,part of,Lanthanum citrate,3002-52-6,221-095-7,C6H5LaO7,C(C(=O)[O-])C(CC(=O)[O-])(C(=O)[O-])O.[La+3]
Lanthanum carbonate octahydrate,as such,Lanthanum carbonate octahydrate,6487-39-4,,CH16LaO17,C(=O)([O-])[O-].O.O.O.O.O.O.O.O.[La]
Lasalocid sodium,as such,Lasalocid sodium,25999-20-6,247-400-3,C34H54O8.Na,CCC(C1C(CC(O1)(CC)C2CCC(C(O2)C)(CC)O)C)C(=O)C(C)C(C(C)CCC3=C(C(=C(C=C3)C)O)C(=O)[O-])O.[Na+]
Lasiocarpine,as such,Lasiocarpine,303-34-4,,C21H33NO,C/C=C(/C)\C(=O)O[C@H]1CCN2[C@@H]1C(=CC2)COC(=O)[C@@]([C@H](C)OC)(C(C)(C)O)O
Lavandulyl acetate,as such,Lavandulyl acetate,25905-14-0,247-327-7,C12H20O2,CC(=CCC(COC(=O)C)C(=C)C)C
Lavandulyl senecioate,as such,Lavandulyl senecioate,23960-07-8,,C15H24O2,CC(=CCC(COC(=O)C=C(C)C)C(=C)C)C
Lead (total),not part of group assessment,Lead,7439-92-1,231-100-4,Pb,[Pb]
Lead (total),not part of group assessment,Lead sulphate,7446-14-2,231-198-9,O4PbS,[O-]S(=O)(=O)[O-].[Pb+2]
Lead (total),not part of group assessment,Lead(II),14280-50-3,,Pb+2,[Pb+2]
Lead (total),not part of group assessment,Tetraethyl lead,78-00-2,201-075-4,C8H20Pb,CC[Pb](CC)(CC)CC
Lecithins,as such,Lecithins,8002-43-5,232-307-2,,
Lenacil,as such,Lenacil,2164-08-1,218-499-0,C13H18N2O2,O=C1NC2=C(CCC2)C(=O)N1C3CCCCC3
Lenacil formulation (Venzar 500 SC2),active ingredient,Lenacil,2164-08-1,218-499-0,C13H18N2O2,O=C1NC2=C(CCC2)C(=O)N1C3CCCCC3
Lenthionine,as such,Lenthionine,292-46-6,,C2H4S5,C1SSCSSS1
Lentinus edodes extract (Shiitake mushroom),ca.,Water,7732-18-5,231-791-2,H2O,O
Lentinus edodes extract (Shiitake mushroom),part of,Glucose,50-99-7,200-075-1,C6H12O6,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
Lentinus edodes extract (Shiitake mushroom),part of,Lentinan,37339-90-5,,C42H72O36,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)OC[C@@H]2[C@H]([C@@H]([C@H]([C@@H](O2)O)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)CO)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)CO)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO[C@H]6[C@@H]([C@H]([C@@H]([C@H](O6)CO)O)O)O)O)O[C@H]7[C@@H]([C@H]([C@@H]([C@H](O7)CO)O)O)O)O)O)O)O)O)O)O)O
Leucomalachite Green,as such,Leucomalachite Green,129-73-7,204-961-9,C23H26N2,CN(C)C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=C(C=C3)N(C)C
Lignosulphonate,as such,Lignosulphonate,8062-15-5,617-129-9,,
Lime oil,<=,Gamma-terpinene,99-85-4,202-794-6,C10H16,CC1=CCC(=CC1)C(C)C
Lime oil,<=,Terpinolene,586-62-9,209-578-0,C10H16,CC1=CCC(=C(C)C)CC1
Lime oil,<=,alpha-Terpineol,98-55-5,202-680-6,C10H18O,CC1=CCC(CC1)C(C)(C)O
